,sex,foreigner,national_group,province_resid,age_atmaincrime,dateofbirth,priorcrimes_dummy,priorcrimes_number_group,maincrime_cat,maincrime_violent,totalmaincrimes_number,maincrime_date,maincrime_year,province_execution,maincrime_program,maincrime_program2,maincrime_program_group,maincrime_programduration_group,V28_temps_inici,V29_durada_programa,V30_data_inici_programa,V31_data_fi_programa,recid15_date,recid15_age,recid15_number,recid15_durat_group,recid15_crime_group,recid15_crime_viol,recid15_viol,recid15_program,recid15_program_group,recid15_totsum,recid15_dummy,recid13_date,recid13_age,recid13_number,recid13_durat_group,recid13_crime_group,recid13_crime_viol,recid13_program,recid13_program_group,recid13_totsum,recid13_dummy
81,Home,Espanyol,Spain,Barcelona,14.0,1993-02-13,Amb antecedents,2 fets,Contra la propietat violent,Violent,2,2007-04-23,2007,Barcelona,Llibertat vigilada,Mesures d'execució,LV,De 6 mesos a 1 any,875.0,364,2009-09-14,2010-09-13,2010-11-15 00:00:00,17.0,1.0,Menys de 6 mesos,Altres,No violent,False,Mediació i reparació menors,MRM,1 reincidència,Sí,2010-11-15 00:00:00,17.0,1.0,Menys de 6 mesos,Altres,No violent,Mediació i reparació menors,MRM,1 reincidència,Sí
99,Home,Estranger,Europa,Lleida,14.0,1993-01-17,Amb antecedents,1 fet,Contra la propietat no violent,No violent,1,2007-09-21,2007,Lleida,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,511.0,535,2009-02-13,2010-08-02,2010-08-30 00:00:00,17.0,1.0,Menys de 6 mesos,Contra la propietat no violent,No violent,False,Llibertat vigilada,LV,1 reincidència,Sí,2010-08-30 00:00:00,17.0,1.0,Menys de 6 mesos,Contra la propietat no violent,No violent,Llibertat vigilada,LV,1 reincidència,Sí
100,Home,Estranger,Magrib,Girona,17.0,1990-06-12,Amb antecedents,1 fet,Contra la propietat no violent,No violent,1,2007-07-13,2007,Girona,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,455.0,748,2008-10-10,2010-10-28,2011-08-11 00:00:00,21.0,3.0,De 6 mesos a 1 any,Altres,No violent,False,MPA - Treballs en benefici de la comunitat,TBC,2 o 3 reincidències,Sí,2011-08-11 00:00:00,21.0,3.0,De 6 mesos a 1 any,Altres,No violent,MPA - Treballs en benefici de la comunitat,TBC,2 o 3 reincidències,Sí
115,Home,Estranger,Magrib,Girona,17.0,1990-04-22,Amb antecedents,1 fet,Contra la propietat no violent,No violent,1,2007-12-19,2007,Girona,Prestacions en benefici de la comunitat,Mesures d'execució,PBC,Més d'1 any,531.0,377,2009-06-02,2010-06-15,2011-01-11 00:00:00,20.0,4.0,De 6 mesos a 1 any,Contra la propietat violent,Violent,True,SIPC - Presó,Presó,Més de 3 reincidències,Sí,2011-01-11 00:00:00,20.0,4.0,De 6 mesos a 1 any,Contra la propietat violent,Violent,SIPC - Presó,Presó,Més de 3 reincidències,Sí
117,Home,Estranger,Magrib,Tarragona,14.0,1992-11-01,Amb antecedents,1 fet,Contra la propietat no violent,No violent,1,2007-10-02,2007,Barcelona,Realització de tasques socioeducatives,Mesures d'execució,Altres medi obert,Més d'1 any,548.0,370,2009-04-02,2010-04-08,2013-02-02 00:00:00,20.0,1.0,De 2 a 3 anys,Contra la propietat violent,Violent,True,SIPC - Preventiva,Presó,1 reincidència,Sí,2013-02-02 00:00:00,20.0,1.0,De 2 a 3 anys,Contra la propietat violent,Violent,SIPC - Preventiva,Presó,1 reincidència,Sí
120,Home,Espanyol,Spain,Girona,14.0,1992-09-03,Amb antecedents,1 fet,Contra la propietat no violent,No violent,1,2007-05-18,2007,Girona,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,574.0,409,2008-12-12,2010-01-26,2010-02-01 00:00:00,17.0,5.0,Menys de 6 mesos,Contra les persones,Violent,True,Internament en centre,Internament,Més de 3 reincidències,Sí,2010-02-01 00:00:00,17.0,5.0,Menys de 6 mesos,Contra les persones,Violent,Internament en centre,Internament,Més de 3 reincidències,Sí
123,Home,Estranger,Centre i Sud Amèrica,Barcelona,16.0,1990-12-05,Amb antecedents,3 fets o més,Contra la propietat no violent,No violent,5,2007-06-15,2007,Barcelona,Realització de tasques socioeducatives,Mesures d'execució,Altres medi obert,Més d'1 any,697.0,398,2009-05-12,2010-06-15,2011-08-21 00:00:00,20.0,5.0,D'1 a 2 anys,Contra les persones,Violent,True,MPA - Programes formatius,Altres MPA,Més de 3 reincidències,Sí,2012-03-11 00:00:00,21.0,3.0,D'1 a 2 anys,Altres,No violent,SIPC - Presó,Presó,2 o 3 reincidències,Sí
132,Home,Estranger,Magrib,Barcelona,14.0,1993-04-04,Amb antecedents,2 fets,Altres,No violent,2,2007-06-14,2007,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,441.0,545,2008-08-28,2010-02-25,2010-03-21 00:00:00,16.0,2.0,Menys de 6 mesos,Contra la propietat no violent,No violent,False,Assessorament tècnic menors,ATM,2 o 3 reincidències,Sí,2010-03-21 00:00:00,16.0,2.0,Menys de 6 mesos,Contra la propietat no violent,No violent,Assessorament tècnic menors,ATM,2 o 3 reincidències,Sí
133,Home,Espanyol,Spain,unknown,16.0,1989-09-12,Amb antecedents,1 fet,Altres,No violent,1,2006-02-02,2006,Girona,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,846.0,595,2008-05-28,2010-01-14,2010-12-15 00:00:00,21.0,7.0,De 6 mesos a 1 any,Contra la propietat violent,Violent,True,SIPC - Presó,Presó,Més de 3 reincidències,Sí,2010-12-15 00:00:00,21.0,2.0,De 6 mesos a 1 any,Contra la propietat violent,Violent,SIPC - Presó,Presó,2 o 3 reincidències,Sí
134,Home,Estranger,Centre i Sud Amèrica,Barcelona,15.0,1991-09-13,Amb antecedents,2 fets,Altres,No violent,2,2007-04-16,2007,Barcelona,Permanència de cap de setmana en domicili,Mesures d'execució,Altres medi obert,Menys de 6 mesos,1025.0,40,2010-02-04,2010-03-16,2010-06-23 00:00:00,18.0,2.0,Menys de 6 mesos,Contra la propietat violent,Violent,True,Assessorament tècnic menors,ATM,2 o 3 reincidències,Sí,2010-06-23 00:00:00,18.0,2.0,Menys de 6 mesos,Contra la propietat violent,Violent,Assessorament tècnic menors,ATM,2 o 3 reincidències,Sí
135,Home,Espanyol,Spain,Lleida,14.0,1992-12-11,Amb antecedents,1 fet,Altres,No violent,1,2007-08-23,2007,Lleida,Llibertat vigilada,Mesures d'execució,LV,De 6 mesos a 1 any,763.0,269,2009-09-24,2010-06-20,2013-07-05 00:00:00,20.0,3.0,De 3 a 4 anys,Altres,No violent,False,MPA - Treballs en benefici de la comunitat,TBC,2 o 3 reincidències,Sí,2013-07-05 00:00:00,20.0,2.0,De 3 a 4 anys,Altres,No violent,MPA - Treballs en benefici de la comunitat,TBC,2 o 3 reincidències,Sí
140,Home,Estranger,Magrib,Barcelona,17.0,1989-01-18,Amb antecedents,1 fet,Altres,No violent,1,2006-02-02,2006,Barcelona,Llibertat vigilada,Mesures d'execució,LV,De 6 mesos a 1 any,1274.0,364,2009-07-30,2010-07-29,2011-10-06 00:00:00,22.0,5.0,D'1 a 2 anys,Contra les persones,Violent,True,MPA - Mediació i reparació d'adults,Altres MPA,Més de 3 reincidències,Sí,2011-10-06 00:00:00,22.0,2.0,D'1 a 2 anys,Contra les persones,Violent,MPA - Mediació i reparació d'adults,Altres MPA,2 o 3 reincidències,Sí
142,Home,Estranger,Centre i Sud Amèrica,Barcelona,16.0,1990-10-25,Amb antecedents,1 fet,Altres,No violent,1,2007-10-03,2007,Barcelona,Realització de tasques socioeducatives,Mesures d'execució,Altres medi obert,De 6 mesos a 1 any,726.0,213,2009-09-28,2010-04-30,2011-08-13 00:00:00,20.0,4.0,D'1 a 2 anys,Contra les persones,Violent,True,MPA - Treballs en benefici de la comunitat,TBC,Més de 3 reincidències,Sí,2011-08-13 00:00:00,20.0,2.0,D'1 a 2 anys,Contra les persones,Violent,MPA - Treballs en benefici de la comunitat,TBC,2 o 3 reincidències,Sí
157,Home,Espanyol,Spain,Barcelona,15.0,1991-05-21,Amb antecedents,3 fets o més,Contra la propietat violent,Violent,3,2006-06-13,2006,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,750.0,706,2008-07-02,2010-06-09,2013-10-18 00:00:00,22.0,1.0,De 3 a 4 anys,Contra la propietat no violent,No violent,False,SIPC - Preventiva,Presó,1 reincidència,Sí,2013-10-18 00:00:00,22.0,1.0,De 3 a 4 anys,Contra la propietat no violent,No violent,SIPC - Preventiva,Presó,1 reincidència,Sí
167,Home,Espanyol,Spain,Barcelona,14.0,1993-05-19,Amb antecedents,3 fets o més,Contra la propietat violent,Violent,3,2007-11-03,2007,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,244.0,704,2008-07-04,2010-06-09,2010-08-07 00:00:00,17.0,1.0,Menys de 6 mesos,Contra les persones,Violent,True,Internament en centre,Internament,1 reincidència,Sí,2010-08-07 00:00:00,17.0,1.0,Menys de 6 mesos,Contra les persones,Violent,Internament en centre,Internament,1 reincidència,Sí
168,Home,Estranger,Centre i Sud Amèrica,Barcelona,17.0,1989-08-31,Amb antecedents,1 fet,Contra la propietat violent,Violent,1,2006-11-05,2006,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,450.0,904,2008-01-29,2010-07-22,2010-07-23 00:00:00,20.0,4.0,Menys de 6 mesos,Contra la propietat no violent,No violent,False,SIPC - Preventiva,Presó,Més de 3 reincidències,Sí,2010-07-23 00:00:00,20.0,3.0,Menys de 6 mesos,Contra la propietat no violent,No violent,SIPC - Preventiva,Presó,2 o 3 reincidències,Sí
172,Home,Espanyol,Spain,Barcelona,15.0,1992-01-19,Amb antecedents,2 fets,Contra la propietat no violent,No violent,2,2007-10-05,2007,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,441.0,508,2008-12-19,2010-05-12,2010-07-22 00:00:00,18.0,4.0,Menys de 6 mesos,Altres,No violent,False,MPA - Treballs en benefici de la comunitat,TBC,Més de 3 reincidències,Sí,2010-07-22 00:00:00,18.0,4.0,Menys de 6 mesos,Altres,No violent,MPA - Treballs en benefici de la comunitat,TBC,Més de 3 reincidències,Sí
173,Home,Estranger,Europa,Barcelona,16.0,1991-04-27,Amb antecedents,1 fet,Contra la propietat no violent,No violent,1,2007-08-19,2007,Barcelona,Llibertat vigilada,Mesures d'execució,LV,De 6 mesos a 1 any,843.0,269,2009-12-09,2010-09-04,2011-09-05 00:00:00,20.0,1.0,D'1 a 2 anys,Altres,No violent,False,SIPC - Preventiva,Presó,1 reincidència,Sí,2011-09-05 00:00:00,20.0,1.0,D'1 a 2 anys,Altres,No violent,SIPC - Preventiva,Presó,1 reincidència,Sí
175,Home,Espanyol,Spain,Barcelona,17.0,1990-03-31,Amb antecedents,1 fet,Contra la propietat no violent,No violent,1,2007-11-21,2007,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Menys de 6 mesos,812.0,179,2010-02-10,2010-08-08,2011-10-02 00:00:00,21.0,2.0,D'1 a 2 anys,Altres,No violent,False,SIPC - Localització permanent,LP,2 o 3 reincidències,Sí,2011-10-02 00:00:00,21.0,1.0,D'1 a 2 anys,Altres,No violent,SIPC - Localització permanent,LP,1 reincidència,Sí
176,Home,Espanyol,Spain,Lleida,17.0,1988-05-07,Amb antecedents,1 fet,Contra la propietat no violent,No violent,1,2006-02-22,2006,Lleida,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,1087.0,375,2009-02-13,2010-02-23,2011-08-31 00:00:00,23.0,3.0,D'1 a 2 anys,Altres,No violent,False,MPA - Treballs en benefici de la comunitat,TBC,2 o 3 reincidències,Sí,2013-01-28 00:00:00,24.0,1.0,De 2 a 3 anys,Altres,No violent,MPA - Treballs en benefici de la comunitat,TBC,1 reincidència,Sí
179,Home,Espanyol,Spain,Barcelona,14.0,1993-04-19,Amb antecedents,1 fet,Contra la propietat no violent,No violent,1,2007-10-07,2007,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,292.0,709,2008-07-25,2010-07-04,2010-07-31 00:00:00,17.0,5.0,Menys de 6 mesos,Altres,No violent,False,Llibertat vigilada,LV,Més de 3 reincidències,Sí,2010-07-31 00:00:00,17.0,5.0,Menys de 6 mesos,Altres,No violent,Llibertat vigilada,LV,Més de 3 reincidències,Sí
190,Home,Estranger,Centre i Sud Amèrica,Barcelona,14.0,1991-10-03,Amb antecedents,2 fets,Altres,No violent,2,2006-06-15,2006,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,1006.0,639,2009-03-17,2010-12-17,2011-10-14 00:00:00,20.0,8.0,De 6 mesos a 1 any,Altres,No violent,False,SIPC - RPS,RPS,Més de 3 reincidències,Sí,2011-10-14 00:00:00,20.0,6.0,De 6 mesos a 1 any,Altres,No violent,SIPC - RPS,RPS,Més de 3 reincidències,Sí
197,Home,Espanyol,Spain,Barcelona,16.0,1990-11-12,Amb antecedents,3 fets o més,Contra les persones,Violent,6,2007-06-19,2007,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,401.0,743,2008-07-24,2010-08-06,2010-09-26 00:00:00,19.0,1.0,Menys de 6 mesos,Contra les persones,Violent,True,MPA - Treballs en benefici de la comunitat,TBC,1 reincidència,Sí,2010-09-26 00:00:00,19.0,1.0,Menys de 6 mesos,Contra les persones,Violent,MPA - Treballs en benefici de la comunitat,TBC,1 reincidència,Sí
206,Home,Espanyol,Spain,Girona,14.0,1992-08-02,Amb antecedents,2 fets,Contra la propietat no violent,No violent,2,2007-03-04,2007,Girona,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,943.0,390,2009-10-02,2010-10-28,2013-04-14 00:00:00,20.0,1.0,De 2 a 3 anys,Altres,No violent,False,MPA - Treballs en benefici de la comunitat,TBC,1 reincidència,Sí,2013-04-14 00:00:00,20.0,1.0,De 2 a 3 anys,Altres,No violent,MPA - Treballs en benefici de la comunitat,TBC,1 reincidència,Sí
207,Home,Espanyol,Spain,Barcelona,17.0,1989-11-06,Amb antecedents,1 fet,Contra la propietat no violent,No violent,1,2006-12-24,2006,Barcelona,Llibertat vigilada,Mesures d'execució,LV,De 6 mesos a 1 any,915.0,235,2009-06-26,2010-02-17,2010-04-12 00:00:00,20.0,6.0,Menys de 6 mesos,Altres,No violent,False,SIPC - RPS,RPS,Més de 3 reincidències,Sí,2010-04-12 00:00:00,20.0,6.0,Menys de 6 mesos,Altres,No violent,SIPC - RPS,RPS,Més de 3 reincidències,Sí
212,Home,Espanyol,Spain,Girona,16.0,1989-02-26,Amb antecedents,1 fet,Altres,No violent,1,2006-02-15,2006,Girona,Internament en centre,Mesures d'execució,Internament,Més d'1 any,1113.0,652,2009-03-04,2010-12-17,2011-02-01 00:00:00,21.0,2.0,Menys de 6 mesos,Altres,No violent,False,MPA - Treballs en benefici de la comunitat,TBC,2 o 3 reincidències,Sí,2011-02-01 00:00:00,21.0,1.0,Menys de 6 mesos,Altres,No violent,MPA - Treballs en benefici de la comunitat,TBC,1 reincidència,Sí
214,Home,Espanyol,Spain,Barcelona,14.0,1992-03-17,Amb antecedents,1 fet,Contra les persones,Violent,1,2007-03-10,2007,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,683.0,414,2009-01-21,2010-03-12,2013-01-09 00:00:00,20.0,2.0,De 2 a 3 anys,Altres,No violent,False,MPA - Treballs en benefici de la comunitat,TBC,2 o 3 reincidències,Sí,2013-01-09 00:00:00,20.0,1.0,De 2 a 3 anys,Altres,No violent,MPA - Treballs en benefici de la comunitat,TBC,1 reincidència,Sí
216,Home,Espanyol,Spain,Barcelona,14.0,1992-10-02,Amb antecedents,1 fet,Contra les persones,Violent,1,2007-03-07,2007,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,441.0,632,2008-05-21,2010-02-12,2011-09-17 00:00:00,18.0,1.0,D'1 a 2 anys,Contra les persones,Violent,True,SIPC - Localització permanent,LP,1 reincidència,Sí,2011-09-17 00:00:00,18.0,1.0,D'1 a 2 anys,Contra les persones,Violent,SIPC - Localització permanent,LP,1 reincidència,Sí
221,Home,Espanyol,Spain,Barcelona,17.0,1989-02-08,Amb antecedents,3 fets o més,Contra les persones,Violent,3,2006-10-12,2006,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,608.0,625,2008-06-11,2010-02-26,2010-06-16 00:00:00,21.0,1.0,Menys de 6 mesos,Altres,No violent,False,SIPC - Preventiva,Presó,1 reincidència,Sí,2010-06-16 00:00:00,21.0,1.0,Menys de 6 mesos,Altres,No violent,SIPC - Preventiva,Presó,1 reincidència,Sí
226,Home,Espanyol,Spain,Barcelona,15.0,1992-01-10,Amb antecedents,1 fet,Contra la propietat no violent,No violent,1,2007-12-31,2007,Barcelona,Llibertat vigilada,Mesures d'execució,LV,De 6 mesos a 1 any,644.0,255,2009-10-05,2010-06-17,2012-11-25 00:00:00,20.0,1.0,De 2 a 3 anys,Contra la propietat violent,Violent,True,MPA - Treballs en benefici de la comunitat,TBC,1 reincidència,Sí,2012-11-25 00:00:00,20.0,1.0,De 2 a 3 anys,Contra la propietat violent,Violent,MPA - Treballs en benefici de la comunitat,TBC,1 reincidència,Sí
229,Home,Espanyol,Spain,Barcelona,16.0,1990-04-24,Amb antecedents,1 fet,Contra la propietat no violent,No violent,1,2006-07-03,2006,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,609.0,844,2008-03-03,2010-06-26,2011-07-11 00:00:00,21.0,1.0,D'1 a 2 anys,Contra la propietat no violent,No violent,False,SIPC - Localització permanent,LP,1 reincidència,Sí,2011-07-11 00:00:00,21.0,1.0,D'1 a 2 anys,Contra la propietat no violent,No violent,SIPC - Localització permanent,LP,1 reincidència,Sí
239,Home,Estranger,Europa,Lleida,17.0,1986-09-12,Amb antecedents,3 fets o més,Contra les persones,Violent,3,2004-04-10,2004,Lleida,Internament en centre,Mesures d'execució,Internament,Més d'1 any,1087.0,1052,2007-04-02,2010-02-18,2012-11-25 00:00:00,26.0,2.0,De 2 a 3 anys,Altres,No violent,False,SIPC - RPS,RPS,2 o 3 reincidències,Sí,2012-11-25 00:00:00,26.0,2.0,De 2 a 3 anys,Altres,No violent,SIPC - RPS,RPS,2 o 3 reincidències,Sí
245,Home,Estranger,Centre i Sud Amèrica,Girona,15.0,1991-10-14,Amb antecedents,1 fet,Contra les persones,Violent,1,2007-05-28,2007,Girona,Llibertat vigilada,Mesures d'execució,LV,De 6 mesos a 1 any,788.0,266,2009-07-24,2010-04-16,2011-04-09 00:00:00,19.0,2.0,De 6 mesos a 1 any,Altres,No violent,False,SIPC - Localització permanent,LP,2 o 3 reincidències,Sí,2011-12-20 00:00:00,20.0,1.0,D'1 a 2 anys,Contra les persones,Violent,SIPC - Preventiva,Presó,1 reincidència,Sí
261,Home,Espanyol,Spain,Lleida,15.0,1991-10-29,Amb antecedents,2 fets,Contra les persones,Violent,2,2007-09-28,2007,Lleida,Permanència de cap de setmana en domicili,Mesures d'execució,Altres medi obert,Menys de 6 mesos,794.0,44,2009-11-30,2010-01-14,2011-06-28 00:00:00,19.0,1.0,D'1 a 2 anys,Contra les persones,Violent,True,SIPC - Preventiva,Presó,1 reincidència,Sí,2011-06-28 00:00:00,19.0,1.0,D'1 a 2 anys,Contra les persones,Violent,SIPC - Preventiva,Presó,1 reincidència,Sí
310,Dona,Espanyol,Spain,Barcelona,17.0,1990-02-26,Amb antecedents,1 fet,Contra les persones,Violent,1,2007-09-06,2007,Barcelona,Prestacions en benefici de la comunitat,Mesures d'execució,PBC,Menys de 6 mesos,994.0,29,2010-05-27,2010-06-25,2012-09-04 00:00:00,22.0,1.0,De 2 a 3 anys,Altres,No violent,False,MPA - Treballs en benefici de la comunitat,TBC,1 reincidència,Sí,2012-09-04 00:00:00,22.0,1.0,De 2 a 3 anys,Altres,No violent,MPA - Treballs en benefici de la comunitat,TBC,1 reincidència,Sí
316,Home,Estranger,Magrib,Tarragona,17.0,1989-03-09,Amb antecedents,1 fet,Contra les persones,Violent,1,2006-12-17,2006,Tarragona,Permanència de cap de setmana en domicili,Mesures d'execució,Altres medi obert,Menys de 6 mesos,1156.0,51,2010-02-15,2010-04-08,2011-01-28 00:00:00,21.0,6.0,De 6 mesos a 1 any,Contra la propietat violent,Violent,True,SIPC - Presó,Presó,Més de 3 reincidències,Sí,2011-07-04 00:00:00,22.0,1.0,D'1 a 2 anys,Altres,No violent,MPA - Treballs en benefici de la comunitat,TBC,1 reincidència,Sí
372,Home,Espanyol,Spain,Barcelona,17.0,1989-10-25,Amb antecedents,2 fets,Contra les persones,Violent,2,2007-03-18,2007,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,101.0,1173,2007-06-27,2010-09-13,2011-01-20 00:00:00,21.0,5.0,Menys de 6 mesos,Contra la propietat no violent,No violent,False,SIPC - Presó,Presó,Més de 3 reincidències,Sí,2011-01-20 00:00:00,21.0,5.0,Menys de 6 mesos,Contra la propietat no violent,No violent,SIPC - Presó,Presó,Més de 3 reincidències,Sí
