,sex,foreigner,national_group,province_resid,age_atmaincrime,dateofbirth,priorcrimes_dummy,priorcrimes_number_group,maincrime_cat,maincrime_violent,totalmaincrimes_number,maincrime_date,province_execution,maincrime_program,maincrime_program2,maincrime_program_group,maincrime_programduration_group,V28_temps_inici,V29_durada_programa,V30_data_inici_programa,V31_data_fi_programa,V54_SAVRYprograma,V55_SAVRYdata,V56_@R1_resum_risc_global_reverse,V57_@R2_resum_risc_delictes_violents,V58_@R3_resum_risc_violencia_centre,V59_@R4_resum_risc_sortides_permisos,V60_SAVRY_total_score,V61_SAVRY_historics_total_score,V62_SAVRY_socials_total_score,V63_SAVRY_individuals_total_score,V64_SAVRY_proteccio_total_score,V65_@1_violencia_previa,V66_@2_historia_delictes_no_violents,V67_@3_inici_precoç_violencia,V68_@4_fracas_intervencions_anteriors,V69_@5_intents_autolesio_suicidi_anteriors,V70_@6_exposicio_violencia_llar,V71_@7_historia_maltracte_infantil,V72_@8_delinquencia_pares,V73_@9_separacio_precoç_pares,V74_@10_baix_rendiment_escola,V75_@11_delinquencia_grup_iguals,V76_@12_rebuig_grup_iguals,V77_@13_estrés_incapacitat_enfrontar_dificultats,V78_@14_escassa_habilitat_pares_educar,V79_@15_manca_suport_personal_social,V80_@16_entorn_marginal,V81_@17_actitud_negatives,V82_@18_assumpcio_riscos_impulsivitat,V83_@19_problemes_consum_toxics,V84_@20_problemes_maneig_enuig,V85_@21_baix_nivell_empatia_remordiment,V86_@22_problemes_concentracio_hiperactivitat,V87_@23_baixa_colaboracio_intervencions,V88_@24_baix_compromis_escolar_laboral,V89_@P1_impicacio_prosocial,V90_@P2_suport_social_fort,V91_@P3_forta_vinculacio_adult_prosocial,V92_@P4_actitud_positiva_intervencions_autoritat,V93_@P5_fort_compromis_escola_treball,V94_@P6_perseverança_tret_personalitat,V95_FACT1mean_ANTISOCIAL,V96_FACT2mean_DINAMICAFAM,V97_FACT3mean_PERSONALITAT,V98_FACT4mean_SUPORTSOCIAL,V99_FACT5mean_SUSCEPTIBILITAT,recid15_date,recid15_age,recid15_number,recid15_durat_group,recid15_crime_group,recid15_crime_viol,recid15_program,recid15_program_group,recid15_totsum,recid15_dummy,recid13_date,recid13_age,recid13_number,recid13_durat_group,recid13_crime_group,recid13_crime_viol,recid13_program,recid13_program_group,recid13_totsum,recid13_dummy,maincrime_year,recid15_viol
994,Dona,Espanyol,Spain,Barcelona,16.0,1991-05-14,Amb antecedents,2 fets,Contra les persones,Violent,2,2007-12-14,Barcelona,Llibertat vigilada,Mesures d'execució,LV,De 6 mesos a 1 any,551.0,208,2009-06-17,2010-01-11,Llibertat vigilada,2010-01-05,Alta,notapplicable,notapplicable,notapplicable,27.0,8.0,6.0,13.0,5.0,Alt,Moderat,Alt,Moderat,Baix,Baix,Baix,Baix,Baix,Alt,Alt,Baix,Baix,Alt,Alt,Baix,Alt,Alt,Alt,Alt,Alt,Moderat,Moderat,Moderat,Absent,Absent,Absent,Absent,Present,Absent,1.43,0.0,1.29,1.2,1.0,2010-03-14 00:00:00,18.0,1.0,Menys de 6 mesos,Contra la propietat violent,Violent,MPA - Programes formatius,Altres MPA,1 reincidència,Sí,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,2007,True
997,Home,Espanyol,Spain,Barcelona,15.0,1994-11-14,Amb antecedents,1 fet,Contra les persones,Violent,1,2009-12-21,Barcelona,Assessorament tècnic menors,ATM,Assessorament tècnic menors,Menys de 6 mesos,119.0,15,2010-04-19,2010-05-04,Internament,2010-04-16,Alta,Alta,notapplicable,Alta,27.0,7.0,8.0,12.0,6.0,Moderat,Moderat,Baix,Baix,Baix,Baix,Moderat,Baix,Alt,Alt,Alt,Baix,Moderat,Alt,Alt,Moderat,Alt,Moderat,Alt,Moderat,Alt,Baix,Alt,Alt,Absent,Absent,Absent,Absent,Absent,Absent,0.86,0.75,1.0,1.4,1.43,2014-02-20 00:00:00,19.0,1.0,De 3 a 4 anys,Altres,No violent,MPA - Treballs en benefici de la comunitat,TBC,1 reincidència,Sí,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,2009,False
998,Home,Espanyol,Spain,Barcelona,15.0,1992-03-19,Amb antecedents,3 fets o més,Contra les persones,Violent,5,2008-02-21,Barcelona,Realització de tasques socioeducatives,Mesures d'execució,Altres medi obert,Més d'1 any,382.0,633,2009-03-09,2010-12-02,Llibertat vigilada,2010-09-27,Moderada,notapplicable,notapplicable,notapplicable,24.0,7.0,7.0,10.0,2.0,Moderat,Moderat,Baix,Moderat,Baix,Alt,Baix,Moderat,Baix,Moderat,Moderat,Moderat,Moderat,Moderat,Moderat,Alt,Moderat,Moderat,Moderat,Moderat,Alt,Moderat,Moderat,Alt,Present,Present,Present,Present,Absent,Absent,0.71,0.75,1.14,0.8,0.86,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,2008,False
999,Dona,Espanyol,Spain,Girona,17.0,1992-05-06,Amb antecedents,1 fet,Contra les persones,Violent,1,2010-01-16,Girona,Mediació i reparació menors,MRM,Mediació i reparació menors,Menys de 6 mesos,297.0,43,2010-11-09,2010-12-22,Llibertat vigilada,2010-11-15,Baixa,notapplicable,notapplicable,notapplicable,22.0,12.0,4.0,6.0,0.0,Moderat,Baix,Alt,Baix,Baix,Alt,Alt,Moderat,Alt,Alt,Moderat,Baix,Moderat,Alt,Baix,Baix,Moderat,Moderat,Moderat,Moderat,Baix,Moderat,Baix,Moderat,Present,Present,Present,Present,Present,Present,0.71,1.75,0.71,0.4,0.43,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,2010,False
1000,Home,Espanyol,Spain,Barcelona,16.0,1992-02-02,Amb antecedents,2 fets,Contra les persones,Violent,2,2008-09-11,Barcelona,Realització de tasques socioeducatives,Mesures d'execució,Altres medi obert,De 6 mesos a 1 any,433.0,201,2009-11-18,2010-06-07,Llibertat vigilada,2010-04-15,Moderada,notapplicable,notapplicable,notapplicable,11.0,3.0,3.0,5.0,0.0,Moderat,Moderat,Baix,Baix,Baix,Baix,Baix,Baix,Baix,Moderat,Moderat,Baix,Moderat,Baix,Baix,Moderat,Moderat,Moderat,Moderat,Moderat,Baix,Baix,Baix,Moderat,Present,Present,Present,Present,Present,Present,0.57,0.0,0.57,0.2,0.29,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,2008,False
1002,Home,Espanyol,Spain,Barcelona,17.0,1992-02-09,Amb antecedents,3 fets o més,Contra les persones,Violent,3,2009-11-04,Barcelona,Assessorament tècnic menors,ATM,Assessorament tècnic menors,Menys de 6 mesos,124.0,0,2010-03-08,2010-03-08,Llibertat vigilada,2010-03-02,Moderada,notapplicable,notapplicable,notapplicable,27.0,13.0,6.0,8.0,3.0,Alt,Alt,Alt,Moderat,Moderat,Baix,Baix,Moderat,Alt,Alt,Alt,Baix,Moderat,Moderat,Moderat,Moderat,Moderat,Moderat,Moderat,Moderat,Moderat,Baix,Moderat,Alt,Present,Absent,Present,Present,Absent,Absent,1.57,0.75,0.71,0.8,1.0,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,2009,False
1004,Home,Espanyol,Spain,Barcelona,15.0,1990-02-12,Amb antecedents,3 fets o més,Contra les persones,Violent,6,2005-10-30,Barcelona,Internament en centre,Mesures d'execució,Internament,Més d'1 any,831.0,826,2008-02-08,2010-05-14,Internament,2010-05-14,Alta,Alta,Alta,Moderada,28.0,11.0,7.0,10.0,3.0,Alt,Alt,Baix,Alt,Baix,Baix,Baix,Alt,Alt,Moderat,Alt,Baix,Moderat,Alt,Baix,Alt,Moderat,Alt,Moderat,Alt,Alt,Baix,Moderat,Moderat,Absent,Absent,Absent,Present,Present,Present,1.29,1.0,1.14,1.2,0.57,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,2005,False
1005,Home,Espanyol,Spain,Barcelona,17.0,1990-10-26,Amb antecedents,3 fets o més,Contra les persones,Violent,9,2008-04-10,Barcelona,Internament en centre,Mesures d'execució,Internament,Més d'1 any,321.0,447,2009-02-25,2010-05-19,Internament,2010-04-23,Baixa,Moderada,Baixa,Baixa,22.0,10.0,5.0,7.0,2.0,Alt,Alt,Baix,Alt,Moderat,Baix,Baix,Baix,Moderat,Alt,Alt,Baix,Baix,Baix,Moderat,Alt,Moderat,Baix,Moderat,Moderat,Moderat,Moderat,Moderat,Moderat,Present,Present,Present,Present,Absent,Absent,1.43,0.25,0.57,0.6,0.86,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,2008,False
1006,Home,Espanyol,Spain,Barcelona,16.0,1989-08-22,Amb antecedents,3 fets o més,Contra les persones,Violent,5,2006-02-07,Barcelona,Internament en centre,Mesures d'execució,Internament,Menys de 6 mesos,1371.0,178,2009-11-09,2010-05-07,Internament,2010-04-29,Moderada,Alta,Moderada,Alta,30.0,12.0,9.0,9.0,3.0,Alt,Moderat,Baix,Alt,Baix,Alt,Alt,Baix,Moderat,Alt,Alt,Baix,Alt,Alt,Moderat,Alt,Moderat,Moderat,Alt,Moderat,Moderat,Moderat,Moderat,Moderat,Present,Absent,Present,Absent,Present,Absent,1.29,1.25,1.0,1.2,0.86,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,2006,False
1007,Dona,Espanyol,Spain,Barcelona,16.0,1991-11-21,Amb antecedents,2 fets,Contra les persones,Violent,2,2008-10-17,Barcelona,Llibertat vigilada,Mesures d'execució,LV,De 6 mesos a 1 any,328.0,363,2009-09-10,2010-09-09,Llibertat vigilada,2010-06-25,Moderada,notapplicable,notapplicable,notapplicable,20.0,10.0,4.0,6.0,0.0,Moderat,Moderat,Moderat,Baix,Baix,Alt,Alt,Baix,Moderat,Alt,Moderat,Baix,Baix,Alt,Baix,Moderat,Moderat,Moderat,Moderat,Moderat,Moderat,Moderat,Baix,Baix,Present,Present,Present,Present,Present,Present,0.71,1.25,0.71,0.6,0.29,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,2008,False
1010,Home,Espanyol,Spain,Tarragona,16.0,1992-09-08,Amb antecedents,1 fet,Contra les persones,Violent,1,2009-03-24,Tarragona,Prestacions en benefici de la comunitat,Mesures d'execució,PBC,Menys de 6 mesos,312.0,89,2010-01-30,2010-04-30,Llibertat vigilada,2010-03-02,Moderada,notapplicable,notapplicable,notapplicable,24.0,9.0,6.0,9.0,5.0,Moderat,Alt,Moderat,Moderat,Baix,Baix,Moderat,Baix,Moderat,Alt,Moderat,Baix,Moderat,Alt,Alt,Baix,Moderat,Moderat,Moderat,Moderat,Moderat,Baix,Alt,Alt,Absent,Absent,Absent,Present,Absent,Absent,1.0,0.5,0.71,1.2,1.29,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,2009,False
1011,Dona,Espanyol,Spain,Tarragona,17.0,1992-11-01,Amb antecedents,1 fet,Contra les persones,Violent,1,2009-11-18,Tarragona,Assessorament tècnic menors,ATM,Assessorament tècnic menors,Menys de 6 mesos,92.0,3,2010-02-18,2010-02-22,Llibertat vigilada,2010-02-02,Moderada,notapplicable,notapplicable,notapplicable,18.0,6.0,4.0,8.0,4.0,Moderat,Moderat,Baix,Moderat,Baix,Baix,Baix,Baix,Moderat,Alt,Moderat,Baix,Moderat,Moderat,Moderat,Baix,Moderat,Moderat,Moderat,Moderat,Moderat,Moderat,Moderat,Moderat,Absent,Present,Absent,Present,Absent,Absent,0.71,0.25,0.86,0.6,1.0,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,2009,False
1013,Home,Espanyol,Spain,Barcelona,15.0,1993-05-05,Amb antecedents,1 fet,Contra les persones,Violent,1,2008-10-28,Barcelona,Internament en centre,Mesures d'execució,Internament,De 6 mesos a 1 any,324.0,235,2009-09-17,2010-05-11,Internament,2010-05-04,Moderada,Moderada,Baixa,Moderada,25.0,10.0,6.0,9.0,4.0,Moderat,Alt,Moderat,Alt,Moderat,Baix,Moderat,Moderat,Baix,Moderat,Moderat,Baix,Alt,Moderat,Alt,Baix,Moderat,Moderat,Alt,Moderat,Moderat,Moderat,Moderat,Moderat,Present,Absent,Absent,Absent,Present,Absent,1.43,0.5,1.0,1.0,0.71,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,2008,False
1015,Home,Espanyol,Spain,Barcelona,17.0,1991-03-18,Amb antecedents,2 fets,Contra les persones,Violent,2,2008-06-24,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,177.0,653,2008-12-18,2010-10-02,Llibertat vigilada,2010-07-02,Moderada,notapplicable,notapplicable,notapplicable,26.0,10.0,5.0,11.0,2.0,Alt,Moderat,Alt,Baix,Alt,Moderat,Moderat,Baix,Baix,Moderat,Moderat,Moderat,Alt,Moderat,Baix,Baix,Moderat,Alt,Moderat,Alt,Moderat,Alt,Moderat,Moderat,Present,Present,Present,Absent,Present,Absent,1.29,0.5,1.57,0.2,0.71,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,2008,False
