,sex,foreigner,national_group,province_resid,age_atmaincrime,dateofbirth,priorcrimes_dummy,priorcrimes_number_group,maincrime_cat,maincrime_violent,totalmaincrimes_number,maincrime_date,maincrime_year,province_execution,maincrime_program,maincrime_program2,maincrime_program_group,maincrime_programduration_group,V28_temps_inici,V29_durada_programa,V30_data_inici_programa,V31_data_fi_programa,recid15_date,recid15_age,recid15_number,recid15_durat_group,recid15_crime_group,recid15_crime_viol,recid15_viol,recid15_program,recid15_program_group,recid15_totsum,recid15_dummy,recid13_date,recid13_age,recid13_number,recid13_durat_group,recid13_crime_group,recid13_crime_viol,recid13_program,recid13_program_group,recid13_totsum,recid13_dummy,savry
1114,Home,Espanyol,Spain,Barcelona,17.0,1989-08-26,Amb antecedents,1 fet,Contra la propietat no violent,No violent,1,2006-09-03,2006,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,892.0,446,2009-02-11,2010-05-03,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,False,notapplicable,notapplicable,notapplicable,No,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,True
1115,Home,Espanyol,Spain,Barcelona,16.0,1991-08-07,Amb antecedents,1 fet,Contra la propietat no violent,No violent,1,2008-03-20,2008,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Menys de 6 mesos,817.0,179,2010-06-15,2010-12-11,2015-01-03 00:00:00,23.0,1.0,De 4 a 5 anys,Contra les persones,Violent,True,SIPC - Preventiva,Presó,1 reincidència,Sí,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,True
1116,Home,Espanyol,Spain,Barcelona,17.0,1990-08-16,Amb antecedents,1 fet,Contra la propietat no violent,No violent,1,2007-10-20,2007,Barcelona,Llibertat vigilada,Mesures d'execució,LV,De 6 mesos a 1 any,719.0,335,2009-10-08,2010-09-09,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,False,notapplicable,notapplicable,notapplicable,No,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,True
1118,Home,Espanyol,Spain,Barcelona,17.0,1990-07-03,Amb antecedents,1 fet,Contra la propietat no violent,No violent,1,2007-08-22,2007,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,385.0,523,2008-09-10,2010-02-15,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,False,notapplicable,notapplicable,notapplicable,No,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,True
1119,Home,Espanyol,Spain,Barcelona,17.0,1991-01-24,Amb antecedents,1 fet,Contra la propietat no violent,No violent,1,2008-07-12,2008,Barcelona,Llibertat vigilada,Mesures d'execució,LV,De 6 mesos a 1 any,464.0,329,2009-10-19,2010-09-14,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,False,notapplicable,notapplicable,notapplicable,No,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,True
1121,Dona,Espanyol,Spain,Tarragona,16.0,1993-11-28,Amb antecedents,3 fets o més,Contra la propietat no violent,No violent,3,2010-09-18,2010,Tarragona,Assessorament tècnic menors,ATM,Assessorament tècnic menors,Menys de 6 mesos,32.0,0,2010-10-20,2010-10-20,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,False,notapplicable,notapplicable,notapplicable,No,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,True
1122,Home,Espanyol,Spain,Barcelona,17.0,1991-10-15,Amb antecedents,2 fets,Contra la propietat no violent,No violent,2,2009-07-15,2009,Barcelona,Assessorament tècnic menors,ATM,Assessorament tècnic menors,Menys de 6 mesos,371.0,78,2010-07-21,2010-10-07,2014-09-26 00:00:00,22.0,16.0,De 3 a 4 anys,Altres,No violent,False,SIPC - Preventiva,Presó,Més de 3 reincidències,Sí,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,True
1123,Home,Espanyol,Spain,Tarragona,16.0,1992-04-03,Amb antecedents,2 fets,Altres,No violent,2,2008-10-05,2008,Tarragona,Llibertat vigilada,Mesures d'execució,LV,De 6 mesos a 1 any,332.0,239,2009-09-02,2010-04-29,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,False,notapplicable,notapplicable,notapplicable,No,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,True
1124,Home,Espanyol,Spain,Tarragona,14.0,1993-12-29,Amb antecedents,2 fets,Altres,No violent,2,2008-11-07,2008,Tarragona,Llibertat vigilada,Mesures d'execució,LV,De 6 mesos a 1 any,501.0,270,2010-03-23,2010-12-18,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,False,notapplicable,notapplicable,notapplicable,No,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,True
1125,Home,Espanyol,Spain,Barcelona,16.0,1992-01-01,Amb antecedents,1 fet,Altres,No violent,1,2008-08-25,2008,Barcelona,Llibertat vigilada,Mesures d'execució,LV,De 6 mesos a 1 any,329.0,227,2009-07-20,2010-03-04,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,False,notapplicable,notapplicable,notapplicable,No,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,True
1128,Home,Espanyol,Spain,Lleida,17.0,1991-12-27,Amb antecedents,1 fet,Altres,No violent,1,2009-02-21,2009,Lleida,Llibertat vigilada,Mesures d'execució,LV,Menys de 6 mesos,394.0,148,2010-03-22,2010-08-18,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,False,notapplicable,notapplicable,notapplicable,No,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,True
1129,Home,Espanyol,Spain,Barcelona,16.0,1991-10-30,Amb antecedents,1 fet,Altres,No violent,1,2008-04-19,2008,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Menys de 6 mesos,685.0,178,2010-03-05,2010-08-31,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,False,notapplicable,notapplicable,notapplicable,No,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,True
1130,Home,Espanyol,Spain,Barcelona,16.0,1992-04-03,Amb antecedents,1 fet,Altres,No violent,1,2009-03-16,2009,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Menys de 6 mesos,359.0,88,2010-03-10,2010-06-07,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,False,notapplicable,notapplicable,notapplicable,No,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,True
1131,Home,Espanyol,Spain,Tarragona,16.0,1991-10-30,Amb antecedents,1 fet,Altres,No violent,1,2008-07-16,2008,Tarragona,Llibertat vigilada,Mesures d'execució,LV,Menys de 6 mesos,516.0,178,2009-12-14,2010-06-11,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,False,notapplicable,notapplicable,notapplicable,No,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,notapplicable,No,True
